,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
37,tt4779682,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Horror'""]",113,2018-08-09,39,1,4,18,5,100,5,19,5.7,130000000,8,"['Action', 'Science Fiction', 'Thriller', 'Horror']",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
38,tt6499752,"[""'Action'"", "" 'Thriller'"", "" 'Science Fiction'"", "" 'Horror'""]",100,2018-06-01,34,1,1,13,1,23,2,7,7.6,5000000,6,"['Action', 'Thriller', 'Science Fiction', 'Horror']",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
39,tt6628394,"[""'Thriller'"", "" 'Crime'"", "" 'Mystery'"", "" 'Drama'""]",142,2018-10-04,39,1,1,5,2,39,3,17,7.2,32000000,10,"['Thriller', 'Crime', 'Mystery', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
41,tt5164432,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",110,2018-02-16,105,1,3,7,4,47,4,20,7.7,17000000,2,"['Comedy', 'Drama', 'Romance']",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
42,tt2798920,"[""'Mystery'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Horror'"", "" 'Adventure'""]",115,2018-02-22,28,1,2,9,2,15,4,6,6.9,40000000,2,"['Mystery', 'Science Fiction', 'Thriller', 'Horror', 'Adventure']",0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
43,tt5164214,"[""'Crime'"", "" 'Comedy'"", "" 'Action'"", "" 'Thriller'""]",111,2018-06-07,237,1,4,9,5,55,4,23,6.2,70000000,6,"['Crime', 'Comedy', 'Action', 'Thriller']",1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
44,tt2548396,"[""'Mystery'"", "" 'Thriller'"", "" 'Horror'"", "" 'Science Fiction'""]",102,2018-02-04,20,1,2,10,5,17,2,1,5.6,26000000,2,"['Mystery', 'Thriller', 'Horror', 'Science Fiction']",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
45,tt3829266,"[""'Science Fiction'"", "" 'Action'"", "" 'Thriller'"", "" 'Adventure'"", "" 'Horror'""]",107,2018-09-05,64,1,4,5,4,82,5,20,5.4,88000000,9,"['Science Fiction', 'Action', 'Thriller', 'Adventure', 'Horror']",1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
46,tt5758778,"[""'Action'""]",102,2018-07-11,64,1,1,10,13,74,4,45,5.9,125000000,7,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,tt1825683,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",134,2018-02-13,135,1,4,9,15,173,6,41,7.4,200000000,2,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
48,tt1365519,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",118,2018-03-05,62,1,5,5,9,71,4,43,6.3,94000000,3,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,tt7349662,"[""'Crime'"", "" 'Drama'""]",135,2018-07-30,53,1,5,13,5,7,6,28,7.6,15000000,7,"['Crime', 'Drama']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50,tt1413492,"[""'War'"", "" 'Drama'"", "" 'History'""]",130,2018-01-16,76,1,3,18,3,31,5,1,6.6,15815025,1,"['War', 'Drama', 'History']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
51,tt5688932,"[""'Fantasy'"", "" 'Science Fiction'"", "" 'Comedy'""]",105,2018-07-06,85,1,1,16,2,11,5,8,7.0,727266,7,"['Fantasy', 'Science Fiction', 'Comedy']",0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
52,tt5246700,"[""'Science Fiction'"", "" 'Thriller'"", "" 'Mystery'""]",113,2018-07-13,44,1,1,13,4,6,2,3,5.0,20000000,7,"['Science Fiction', 'Thriller', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
53,tt5610554,"[""'Comedy'"", "" 'Drama'""]",96,2018-05-04,34,1,1,20,6,28,4,1,7.0,3282610,5,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
55,tt5848272,"[""'Family'"", "" 'Animation'"", "" 'Comedy'"", "" 'Fantasy'""]",112,2018-11-20,81,2,6,5,96,58,2,18,7.3,175000000,11,"['Family', 'Animation', 'Comedy', 'Fantasy']",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,tt7153766,"[""'Horror'"", "" 'Thriller'""]",99,2018-02-21,34,1,2,7,3,5,3,12,6.4,1500000,2,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
57,tt6911608,"[""'Comedy'"", "" 'Romance'""]",113,2018-07-09,242,1,5,17,7,15,8,16,6.8,75000000,7,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
58,tt6212478,"[""'Drama'"", "" 'Crime'""]",117,2018-06-01,85,1,1,23,5,10,3,2,7.0,134793,6,"['Drama', 'Crime']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
59,tt5397194,"[""'Science Fiction'"", "" 'Thriller'""]",100,2018-05-03,53,1,1,14,4,6,3,2,6.1,20000000,5,"['Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
60,tt0795421,"[""'Comedy'"", "" 'Romance'""]",108,2008-07-02,76,1,1,7,9,21,5,24,6.4,52000000,7,"['Comedy', 'Romance']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
61,tt7014006,"[""'Comedy'"", "" 'Drama'""]",94,2018-01-19,42,1,1,6,3,6,1,4,7.5,2000000,1,"['Comedy', 'Drama']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
62,tt6343314,"[""'Drama'"", "" 'Action'""]",130,2018-11-21,254,1,5,11,4,20,4,37,7.7,50000000,11,"['Drama', 'Action']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,tt6133466,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Horror'""]",97,2018-07-04,101,1,1,10,3,48,3,19,5.1,13000000,7,"['Action', 'Science Fiction', 'Thriller', 'Horror']",1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
64,tt6306064,"[""'Thriller'"", "" 'Romance'"", "" 'Adventure'""]",96,2018-05-31,12,1,5,17,25,2,4,19,6.6,35000000,5,"['Thriller', 'Romance', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
65,tt1620680,"[""'Adventure'"", "" 'Science Fiction'"", "" 'Family'"", "" 'Fantasy'""]",109,2018-03-08,55,1,3,4,11,26,3,15,4.2,100000000,3,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
66,tt5083738,"[""'Drama'"", "" 'History'"", "" 'Comedy'""]",120,2018-11-20,59,1,2,13,10,25,4,9,7.9,15000000,11,"['Drama', 'History', 'Comedy']",0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
67,tt6772950,"[""'Thriller'"", "" 'Horror'""]",100,2018-04-12,37,1,4,11,3,14,1,15,5.1,3500000,4,"['Thriller', 'Horror']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
