,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
404,tt2310332,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",144,2014-12-10,136,1,5,9,6,131,4,55,7,250000000,12
405,tt0470752,"[""'Drama'"", "" 'Science Fiction'""]",108,2015-01-21,15,1,1,9,3,3,4,36,7,15000000,1
406,tt3235888,"[""'Horror'"", "" 'Thriller'""]",101,2014-11-13,28,1,1,14,3,25,3,1,6,1000000,11
407,tt1587310,"[""'Fantasy'"", "" 'Adventure'"", "" 'Action'"", "" 'Family'"", "" 'Romance'""]",97,2014-05-28,83,1,9,11,12,82,2,32,7,180000000,5
408,tt2788710,"[""'Action'"", "" 'Comedy'""]",112,2014-12-25,83,2,3,10,2,38,3,25,6,44000000,12
409,tt2397535,"[""'Science Fiction'"", "" 'Thriller'""]",97,2014-08-28,67,2,3,8,5,21,5,1,7,44028,8
410,tt2883512,"[""'Comedy'""]",114,2014-05-08,83,1,1,25,7,13,2,2,7,11000000,5
411,tt1253863,"[""'Action'"", "" 'War'"", "" 'Drama'""]",102,2014-03-05,75,1,3,13,9,110,6,44,6,110000000,3
412,tt2267998,"[""'Mystery'"", "" 'Thriller'"", "" 'Drama'""]",149,2014-10-01,111,1,1,7,4,2,5,44,8,61000000,10
413,tt2103281,"[""'Science Fiction'"", "" 'Action'"", "" 'Drama'"", "" 'Thriller'""]",130,2014-06-26,96,1,4,8,10,120,4,44,7,170000000,6
414,tt1951265,"[""'Science Fiction'"", "" 'Adventure'"", "" 'Thriller'""]",123,2014-11-18,124,1,3,8,12,152,2,41,6,125000000,11
415,tt1646971,"[""'Fantasy'"", "" 'Action'"", "" 'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Family'""]",102,2014-06-09,19,1,2,10,1,81,2,37,7,145000000,6
416,tt1840309,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",139,2014-03-14,181,1,3,7,10,92,2,32,6,85000000,3
417,tt2872732,"[""'Action'"", "" 'Science Fiction'""]",89,2014-07-25,65,1,1,2,25,83,8,1,6,40000000,7
418,tt2911666,"[""'Action'"", "" 'Thriller'""]",101,2014-10-22,77,2,1,19,5,72,8,2,7,20000000,10
419,tt2582802,"[""'Drama'""]",107,2014-10-10,54,1,1,14,4,5,4,2,8,3300000,10
420,tt2109248,"[""'Science Fiction'"", "" 'Action'"", "" 'Adventure'""]",165,2014-06-25,137,1,1,19,16,144,10,51,5,210000000,6
421,tt1877832,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",131,2014-05-15,108,1,5,11,13,133,7,43,8,200000000,5
422,tt2179136,"[""'War'"", "" 'Action'""]",133,2014-12-11,148,1,4,14,12,34,6,42,7,58800000,12
423,tt2015381,"[""'Action'"", "" 'Science Fiction'"", "" 'Adventure'""]",121,2014-07-30,127,1,11,10,15,105,3,37,8,170000000,7
424,tt1843866,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",136,2014-03-20,239,2,7,9,7,148,3,48,7,170000000,3
425,tt0455944,"[""'Thriller'"", "" 'Action'"", "" 'Crime'""]",132,2014-09-24,129,1,3,13,3,29,7,38,7,55000000,9
426,tt2209764,"[""'Thriller'"", "" 'Science Fiction'"", "" 'Drama'"", "" 'Mystery'""]",119,2014-04-16,90,1,1,16,4,71,4,50,6,100000000,4
427,tt2446042,"[""'Thriller'"", "" 'Action'""]",109,2014-12-16,92,1,2,3,9,87,10,1,6,48000000,12
428,tt1631867,"[""'Action'"", "" 'Science Fiction'""]",113,2014-05-27,93,1,4,15,17,61,8,41,7,178000000,5
429,tt1872181,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",142,2014-04-16,215,1,6,8,11,93,4,33,6,200000000,4
430,tt2245084,"[""'Adventure'"", "" 'Family'"", "" 'Animation'"", "" 'Action'"", "" 'Comedy'""]",102,2014-10-24,47,2,6,4,2,13,3,32,7,165000000,10
431,tt2713180,"[""'War'"", "" 'Drama'"", "" 'Action'""]",135,2014-10-15,132,1,1,11,4,47,6,1,7,68000000,10
432,tt1234721,"[""'Action'"", "" 'Science Fiction'""]",102,2014-01-30,102,1,3,6,6,190,4,45,6,100000000,1
433,tt1790864,"[""'Action'"", "" 'Mystery'"", "" 'Science Fiction'"", "" 'Thriller'""]",113,2014-09-10,53,1,4,7,2,27,6,33,6,34000000,9
434,tt2802144,"[""'Crime'"", "" 'Comedy'"", "" 'Action'"", "" 'Adventure'""]",129,2015-01-24,130,1,4,9,1,139,4,36,7,81000000,1
435,tt2294449,"[""'Crime'"", "" 'Comedy'"", "" 'Action'""]",112,2014-06-05,133,2,6,11,5,101,10,30,7,50000000,6
436,tt1065073,"[""'Drama'""]",164,2014-06-05,100,1,1,9,9,5,2,1,7,4000000,6
437,tt1418377,"[""'Horror'"", "" 'Thriller'""]",92,2014-01-22,44,1,3,14,11,57,4,1,5,65000000,1
438,tt3011894,"[""'Drama'"", "" 'Thriller'"", "" 'Comedy'""]",125,2014-08-21,69,1,2,8,5,15,6,1,8,3300000,8
439,tt2096672,"[""'Comedy'""]",110,2014-11-12,151,2,6,14,7,51,5,49,5,40000000,11
440,tt0458481,"[""'Crime'"", "" 'Thriller'""]",102,2014-08-20,86,2,1,33,3,32,5,1,6,65000000,8
441,tt1126590,"[""'Drama'""]",105,2014-12-24,104,1,2,11,10,9,4,33,7,10000000,12
442,tt1956620,"[""'Comedy'""]",97,2014-07-17,112,1,3,9,2,8,5,29,5,40000000,7
443,tt2333784,"[""'Action'"", "" 'Adventure'"", "" 'Thriller'""]",127,2014-08-04,39,1,4,18,9,100,6,34,6,90000000,8
444,tt2357291,"[""'Adventure'"", "" 'Comedy'"", "" 'Family'"", "" 'Music'"", "" 'Animation'""]",102,2014-03-19,73,1,6,3,133,41,3,30,6,103000000,3
445,tt3316960,"[""'Drama'""]",101,2014-12-05,32,2,3,17,3,11,6,2,7,5000000,12
446,tt2170593,"[""'Comedy'""]",102,2014-10-09,71,1,1,15,5,1,4,22,7,13000000,10
447,tt1809398,"[""'Drama'"", "" 'War'""]",137,2014-12-25,122,1,5,11,7,42,3,20,7,65000000,12
448,tt3416742,"[""'Comedy'"", "" 'Horror'""]",86,2014-06-19,60,2,2,6,17,1,5,24,7,1600000,6
449,tt2980592,"[""'Mystery'"", "" 'Thriller'"", "" 'Action'""]",99,2014-09-17,36,1,1,6,4,16,2,16,6,5000000,9
450,tt0365907,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Thriller'""]",113,2014-09-18,71,1,2,19,2,23,8,48,6,28000000,9
451,tt1100089,"[""'Drama'"", "" 'Thriller'""]",134,2014-05-19,163,1,2,14,7,5,3,1,7,24000000,5
452,tt1972571,"[""'Thriller'""]",121,2014-07-25,31,1,3,14,5,19,8,2,6,15000000,7
453,tt1921064,"[""'Action'"", "" 'Adventure'"", "" 'History'"", "" 'Romance'"", "" 'Drama'""]",105,2014-02-18,47,1,3,9,4,160,5,1,5,100000000,2
454,tt1121096,"[""'Adventure'"", "" 'Fantasy'""]",102,2014-12-12,46,1,4,10,6,68,7,23,5,95000000,12
455,tt2884206,"[""'Science Fiction'"", "" 'Drama'""]",106,2014-07-18,33,1,1,19,3,26,4,1,7,27652,7
456,tt2180411,"[""'Fantasy'"", "" 'Comedy'""]",125,2014-12-25,47,1,1,6,13,89,5,22,6,50000000,12
457,tt3322940,"[""'Horror'""]",99,2014-10-02,26,1,1,10,2,12,5,34,5,6500000,10
458,tt1605717,"[""'Comedy'"", "" 'Drama'"", "" 'Mystery'""]",95,2014-05-02,55,1,2,9,3,11,4,1,7,16056,5
459,tt2203939,"[""'Comedy'"", "" 'Romance'""]",109,2014-04-16,89,1,1,5,4,11,2,26,6,40000000,4
460,tt1355630,"[""'Drama'""]",106,2014-08-21,50,1,2,7,3,6,3,27,6,11000000,8
461,tt0435651,"[""'Drama'"", "" 'Science Fiction'""]",94,2014-08-11,26,1,3,14,7,30,6,33,6,25000000,8
462,tt1791528,"[""'Comedy'"", "" 'Romance'"", "" 'Crime'"", "" 'Drama'"", "" 'Mystery'""]",148,2014-12-25,109,1,2,8,3,13,4,30,6,20000000,12
463,tt1638002,"[""'Comedy'"", "" 'Romance'""]",102,2014-10-16,54,1,2,10,4,8,2,1,7,14893,10
464,tt1086772,"[""'Comedy'""]",117,2014-05-21,89,1,2,14,6,12,4,31,6,40000000,5
465,tt3007512,"[""'War'"", "" 'Drama'""]",112,2014-12-25,82,1,2,12,8,35,5,22,7,22500000,12
466,tt2170439,"[""'Comedy'""]",108,2014-11-26,67,1,5,11,3,25,3,34,6,42000000,11
467,tt2692250,"[""'Adventure'"", "" 'Comedy'"", "" 'Fantasy'"", "" 'Family'""]",97,2014-12-17,89,1,5,10,8,26,5,33,6,127000000,12
468,tt2975578,"[""'Horror'"", "" 'Thriller'""]",104,2014-07-17,76,1,1,8,7,39,4,29,6,9000000,7
469,tt1600196,"[""'Drama'"", "" 'Crime'""]",106,2014-09-12,49,1,1,7,2,4,6,30,7,12600000,9
470,tt2980648,"[""'Drama'""]",122,2014-08-06,41,1,2,9,13,12,8,23,7,22000000,8
471,tt1924435,"[""'Comedy'""]",104,2014-08-13,170,1,2,5,5,30,3,19,6,17000000,8
472,tt2305051,"[""'Drama'""]",115,2014-12-05,82,1,2,9,3,16,3,34,7,15000000,12
473,tt1800246,"[""'Comedy'"", "" 'Romance'""]",94,2014-01-29,46,1,1,18,5,3,6,2,6,8000000,1
474,tt1267297,"[""'Action'"", "" 'Adventure'""]",99,2014-07-23,71,1,3,8,10,91,7,42,6,100000000,7
475,tt1205537,"[""'Action'"", "" 'Drama'"", "" 'Thriller'""]",105,2014-01-15,166,1,3,11,11,99,6,46,6,60000000,1
476,tt2369135,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Thriller'""]",130,2014-03-13,89,1,2,9,5,88,3,1,6,66000000,3
477,tt1020072,"[""'History'"", "" 'Drama'""]",127,2014-12-25,138,1,1,11,4,52,7,30,7,20000000,12
478,tt2338151,"[""'Comedy'"", "" 'Drama'""]",153,2014-12-18,31,1,2,4,6,6,2,7,8,3565258,12
479,tt1109624,"[""'Comedy'"", "" 'Adventure'"", "" 'Family'""]",96,2014-11-28,71,1,3,11,3,12,9,1,7,55000000,11
480,tt2177771,"[""'War'"", "" 'Drama'"", "" 'History'"", "" 'Action'""]",118,2014-01-24,113,1,4,6,8,33,5,26,6,70000000,1
481,tt1408253,"[""'Action'"", "" 'Comedy'""]",99,2014-01-07,74,1,4,8,3,74,5,19,6,25000000,1
482,tt1528100,"[""'Adventure'"", "" 'Drama'"", "" 'Action'""]",150,2014-12-03,77,1,4,15,14,127,4,40,6,140000000,12
483,tt2172934,"[""'Action'"", "" 'Drama'"", "" 'Thriller'"", "" 'Crime'""]",113,2014-02-14,55,1,2,10,21,72,4,3,6,28000000,2
484,tt2870612,"[""'Horror'"", "" 'Thriller'""]",93,2014-08-14,16,1,2,8,4,17,3,20,6,5000000,8
