,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
69,tt4575576,"[""'Adventure'"", "" 'Comedy'"", "" 'Family'"", "" 'Fantasy'""]",104,2018-08-02,80,1,7,5,4,24,2,10,7,75000000,8
71,tt5117670,"[""'Animation'"", "" 'Adventure'"", "" 'Family'""]",93,2018-02-07,61,1,3,15,4,22,9,26,6,50000000,2
72,tt6921996,"[""'Adventure'"", "" 'Family'"", "" 'Action'"", "" 'Comedy'""]",89,2018-09-13,85,1,1,7,4,52,4,17,6,25000000,9
73,tt6697582,"[""'Adventure'"", "" 'Comedy'"", "" 'Science Fiction'""]",125,2018-01-05,78,1,1,4,15,7,2,8,7,13547689,1
75,tt6452574,"[""'Drama'"", "" 'Comedy'""]",161,2018-06-29,36,1,2,9,5,3,2,2,8,2723349,6
76,tt4701182,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",114,2018-12-15,105,1,1,12,6,56,8,18,7,135000000,12
77,tt5834262,"[""'Thriller'"", "" 'Science Fiction'"", "" 'Action'""]",94,2018-06-07,49,1,1,13,2,30,3,1,6,15000000,6
78,tt6850820,"[""'Action'"", "" 'Thriller'"", "" 'Drama'""]",102,2018-09-06,69,1,1,15,4,37,3,18,6,25000000,9
79,tt7431594,"[""'Thriller'"", "" 'Action'""]",160,2018-06-15,50,1,2,13,1,5,4,3,2,1690861,6
82,tt8108198,"[""'Thriller'"", "" 'Comedy'"", "" 'Crime'""]",139,2018-10-05,17,1,6,9,8,22,2,2,8,278677,10
83,tt6966692,"[""'Drama'"", "" 'Comedy'""]",130,2018-11-16,100,1,3,11,6,14,5,29,8,23000000,11
84,tt3892172,"[""'Drama'""]",110,2018-06-29,38,1,3,13,2,4,4,21,7,219140,6
85,tt4560436,"[""'Action'"", "" 'Thriller'"", "" 'Adventure'"", "" 'Crime'""]",95,2018-08-16,67,1,2,24,9,50,5,22,6,50000000,8
86,tt2531344,"[""'Comedy'""]",102,2018-03-14,77,1,2,18,3,31,4,16,6,21000000,3
87,tt5726086,"[""'Mystery'"", "" 'Horror'"", "" 'Thriller'""]",118,2018-01-03,35,1,1,14,4,14,4,25,5,10000000,1
89,tt1137450,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Thriller'""]",107,2018-03-02,75,1,3,5,7,44,2,27,6,30000000,3
90,tt6998518,"[""'Action'"", "" 'Thriller'"", "" 'Horror'""]",122,2018-09-13,20,1,3,16,3,19,6,1,6,6000000,9
92,tt5783956,"[""'Comedy'"", "" 'Romance'"", "" 'Fantasy'""]",97,2018-02-09,30,1,1,16,1,7,4,1,6,10000000,2
93,tt4218572,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",128,2018-11-06,130,1,3,10,3,29,5,12,7,42000000,11
94,tt6791096,"[""'Comedy'""]",111,2018-04-19,106,2,2,17,2,3,3,20,5,32000000,4
95,tt5028340,"[""'Fantasy'"", "" 'Family'"", "" 'Comedy'""]",131,2018-12-19,127,1,4,8,7,52,3,18,7,130000000,12
96,tt2119543,"[""'Horror'"", "" 'Fantasy'"", "" 'Thriller'"", "" 'Family'"", "" 'Mystery'""]",106,2018-09-15,35,1,2,8,8,19,4,1,6,42000000,9
97,tt4244998,"[""'Adventure'"", "" 'Drama'""]",97,2018-08-17,17,1,2,11,2,27,1,34,6,51000000,8
98,tt4477536,"[""'Drama'"", "" 'Romance'""]",105,2018-01-17,68,1,2,4,8,19,2,22,4,55000000,1
99,tt3890160,"[""'Action'"", "" 'Crime'""]",112,2017-06-28,85,1,1,10,4,114,4,31,7,34000000,6
100,tt1648190,"[""'Action'"", "" 'Fantasy'"", "" 'Science Fiction'"", "" 'Western'"", "" 'Horror'""]",95,2017-08-03,64,1,5,8,8,71,6,43,5,60000000,8
101,tt3501632,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Fantasy'"", "" 'Science Fiction'""]",130,2017-10-25,117,1,9,8,15,102,3,38,7,180000000,10
102,tt5519340,"[""'Action'"", "" 'Crime'"", "" 'Fantasy'""]",117,2017-12-22,96,1,1,10,4,104,3,5,6,90000000,12
103,tt5580036,"[""'Drama'""]",121,2017-12-08,97,1,1,14,3,12,2,1,7,11000000,12
104,tt5052448,"[""'Mystery'"", "" 'Thriller'"", "" 'Horror'""]",104,2017-02-24,43,1,1,13,4,18,6,28,7,4500000,2
105,tt0974015,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'Science Fiction'""]",120,2017-11-15,185,1,10,20,15,190,7,24,6,300000000,11
106,tt3402236,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'""]",114,2017-11-03,103,1,2,14,7,45,7,24,6,55000000,11
107,tt2380307,"[""'Animation'"", "" 'Family'"", "" 'Comedy'"", "" 'Adventure'"", "" 'Fantasy'""]",105,2017-10-27,23,2,4,3,111,123,2,25,8,175000000,10
108,tt1856101,"[""'Science Fiction'"", "" 'Thriller'""]",163,2017-10-04,38,1,3,16,19,65,8,1,8,150000000,10
109,tt4425200,"[""'Thriller'"", "" 'Action'"", "" 'Crime'""]",122,2017-02-08,86,1,1,13,14,113,5,1,7,40000000,2
110,tt1485796,"[""'Drama'""]",105,2017-12-20,151,1,2,8,6,62,3,21,7,84000000,12
111,tt3521126,"[""'Comedy'"", "" 'Drama'""]",104,2017-03-12,123,1,4,22,6,1,6,19,7,10000000,3
112,tt5439796,"[""'Action'"", "" 'Comedy'"", "" 'Crime'"", "" 'Drama'""]",119,2017-08-17,164,1,1,9,4,25,2,1,7,29000000,8
114,tt1396484,"[""'Horror'"", "" 'Thriller'""]",135,2017-09-06,49,1,4,13,3,42,5,27,7,35000000,9
115,tt2316204,"[""'Horror'"", "" 'Science Fiction'"", "" 'Thriller'""]",122,2017-05-09,26,1,6,8,6,45,4,21,6,97000000,5
116,tt4649466,"[""'Action'"", "" 'Adventure'""]",141,2017-09-20,133,1,4,11,6,118,4,25,6,104000000,9
117,tt4925292,"[""'Comedy'"", "" 'Drama'""]",94,2017-09-08,72,1,1,6,8,10,4,2,7,10000000,9
118,tt2543472,"[""'Drama'"", "" 'Family'""]",113,2017-11-13,70,1,4,12,8,10,4,27,8,20000000,11
119,tt2250912,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Drama'""]",133,2017-07-05,137,1,10,12,8,154,3,42,7,175000000,7
120,tt2239822,"[""'Adventure'"", "" 'Science Fiction'"", "" 'Action'""]",136,2017-07-20,117,1,3,8,17,33,11,39,6,177200000,7
121,tt5580390,"[""'Drama'"", "" 'Fantasy'"", "" 'Romance'""]",123,2017-12-01,49,1,2,6,2,24,4,22,7,19400000,12
122,tt1469304,"[""'Action'"", "" 'Comedy'""]",116,2017-05-12,149,1,9,18,6,63,9,36,5,69000000,5
123,tt3450958,"[""'Drama'"", "" 'Science Fiction'"", "" 'War'""]",140,2017-07-11,50,1,5,8,8,97,3,22,7,150000000,7
124,tt6294822,"[""'Drama'"", "" 'History'""]",116,2017-12-22,179,1,2,11,8,42,5,44,7,50000000,12
125,tt4555426,"[""'Drama'"", "" 'History'""]",125,2017-11-22,110,1,1,9,3,9,2,25,7,30000000,11
126,tt3371366,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Adventure'""]",149,2017-06-16,174,1,4,14,14,156,6,37,5,217000000,6
127,tt5109784,"[""'Drama'"", "" 'Horror'"", "" 'Mystery'""]",121,2017-09-13,72,1,1,7,10,34,2,42,6,30000000,9
128,tt2771200,"[""'Family'"", "" 'Fantasy'"", "" 'Romance'""]",129,2017-03-16,162,1,5,10,7,24,2,45,7,160000000,3
129,tt1790809,"[""'Adventure'"", "" 'Action'"", "" 'Fantasy'"", "" 'Comedy'""]",129,2017-05-23,156,2,5,7,13,163,3,27,6,230000000,5
130,tt0451279,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'"", "" 'War'""]",141,2017-05-30,162,1,5,13,24,182,7,29,7,149000000,5
131,tt5013056,"[""'Action'"", "" 'Drama'"", "" 'History'"", "" 'Thriller'"", "" 'War'""]",107,2017-07-19,77,1,1,7,11,103,7,26,7,100000000,7
132,tt1959563,"[""'Action'"", "" 'Comedy'""]",118,2017-08-16,126,1,1,31,8,163,9,1,6,30000000,8
133,tt2283362,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Fantasy'""]",119,2017-12-09,79,1,8,10,8,64,5,27,7,90000000,12
134,tt5027774,"[""'Crime'"", "" 'Drama'""]",115,2017-11-10,42,1,1,9,3,10,3,26,8,15000000,11
135,tt5362988,"[""'Crime'"", "" 'Drama'"", "" 'Mystery'"", "" 'Thriller'""]",107,2017-08-03,35,1,1,28,3,23,11,2,7,11000000,8
136,tt2406566,"[""'Action'"", "" 'Mystery'"", "" 'Thriller'""]",115,2017-07-26,26,1,3,20,6,41,7,1,6,30000000,7
137,tt3315342,"[""'Action'"", "" 'Drama'"", "" 'Science Fiction'""]",137,2017-02-28,110,1,9,9,5,128,6,26,8,97000000,2
138,tt2345759,"[""'Fantasy'"", "" 'Thriller'"", "" 'Action'"", "" 'Adventure'"", "" 'Horror'""]",110,2017-06-06,79,1,6,8,6,146,6,22,5,125000000,6
139,tt1219827,"[""'Action'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",107,2017-03-29,59,1,4,12,15,80,10,49,6,110000000,3
140,tt5462602,"[""'Comedy'"", "" 'Drama'"", "" 'Romance'""]",120,2017-06-23,47,1,2,8,3,4,3,2,7,5000000,6
141,tt2527336,"[""'Fantasy'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Action'""]",152,2017-12-13,118,1,2,16,22,62,7,48,7,220009584,12
142,tt3532216,"[""'Thriller'"", "" 'Action'""]",115,2017-08-17,151,1,1,32,9,36,6,1,7,50000000,8
143,tt4630562,"[""'Adventure'"", "" 'Action'"", "" 'Crime'"", "" 'Thriller'"", "" 'Mystery'""]",136,2017-04-12,182,1,2,10,11,195,6,31,6,250000000,4
144,tt1972591,"[""'Action'"", "" 'Drama'"", "" 'Fantasy'""]",126,2017-05-10,180,1,4,11,12,86,7,22,6,175000000,5
145,tt3896198,"[""'Action'"", "" 'Adventure'"", "" 'Comedy'"", "" 'Science Fiction'""]",137,2017-04-19,83,1,13,9,6,67,2,23,7,200000000,4
146,tt5442430,"[""'Horror'"", "" 'Science Fiction'"", "" 'Thriller'"", "" 'Drama'""]",103,2017-03-22,17,1,2,8,2,28,3,22,6,58000000,3
147,tt3731562,"[""'Action'"", "" 'Adventure'"", "" 'Fantasy'""]",118,2017-03-08,92,1,6,10,18,79,3,28,6,185000000,3
148,tt2568862,"[""'Crime'"", "" 'Comedy'"", "" 'Drama'""]",96,2017-04-06,107,1,2,9,5,29,6,18,6,25000000,4
149,tt2226597,"[""'Romance'"", "" 'Adventure'"", "" 'Drama'""]",109,2017-10-05,21,1,3,8,9,33,2,19,6,35000000,10
150,tt4633690,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",121,2017-07-13,83,1,1,10,3,21,4,20,7,3440362,7
