,0,1,2,3,4,5,6,7,8,9
tt3829920,['93'],93,1,3,12,5,20,3,44,44
tt3967856,['118'],118,1,2,17,5,52,3,2,2
tt5294550,['80'],80,1,2,10,12,34,6,37,37
tt5715874,['69'],69,1,2,16,3,24,3,18,18
tt3748172,['38'],38,1,3,7,1,6,1,1,1
tt4287320,['75'],75,1,2,14,4,10,6,1,1
tt4765284,['163'],163,1,3,8,2,47,4,19,19
tt5988370,['7'],7,1,1,1,,,1,10,10
tt4995790,['56'],56,1,1,12,11,4,14,23,23
tt4465564,['53'],53,1,2,4,4,32,6,19,19
tt4468740,['124'],124,1,4,11,4,17,7,37,37
tt1615160,['97'],97,1,2,32,3,41,8,30,30
tt1241317,['72'],72,1,5,14,4,74,2,6,6
tt2763304,['70'],70,1,2,8,13,46,7,30,30
tt4695012,['10'],10,1,1,8,6,21,2,16,16
tt1753383,['60'],60,1,5,7,8,16,6,59,59
tt6265828,['71'],71,1,1,5,2,2,3,28,28
tt4686844,['108'],108,1,6,13,2,13,11,1,1
tt3348730,['32'],32,2,2,11,2,16,4,23,23
tt5742374,['40'],40,1,2,14,4,29,3,1,1
tt2582782,['64'],64,1,1,15,4,28,4,25,25
tt4160708,['19'],19,1,2,14,5,11,6,3,3
tt2660888,['84'],84,1,6,11,9,79,7,42,42
tt2094766,['81'],81,1,6,16,6,88,11,29,29
tt4196776,['229'],229,1,3,17,16,174,6,40,40
tt1935859,['102'],102,1,2,6,15,69,8,25,25
tt3062096,['59'],59,1,2,10,19,69,4,43,43
tt1355644,['45'],45,1,1,12,2,16,7,33,33
tt1289401,['210'],210,1,5,12,9,93,7,41,41
tt3040964,['28'],28,1,2,7,20,21,4,27,27
tt2119532,['112'],112,1,2,35,4,70,5,2,2
tt4846340,['126'],126,1,3,12,3,12,4,20,20
tt3110958,['145'],145,1,4,13,7,73,3,56,56
tt1431045,['55'],55,1,2,10,5,90,5,34,34
tt2543164,['74'],74,1,2,14,5,5,4,1,1
tt3748528,['155'],155,1,5,11,13,122,5,43,43
tt1179933,['9'],9,1,3,8,4,43,3,36,36
tt3521164,['13'],13,4,8,3,169,,3,30,30
tt3553976,['51'],51,1,1,9,4,12,2,1,1
tt1386697,['126'],126,1,2,10,13,194,5,30,30
tt3300542,['93'],93,1,5,20,9,157,4,1,1
tt2948356,['75'],75,3,7,4,127,171,2,42,42
tt4776998,['115'],115,1,2,15,18,54,3,18,18
tt2005151,['117'],117,1,4,12,9,56,4,15,15
tt0918940,['169'],169,1,3,12,15,103,9,25,25
tt1700841,['33'],33,2,5,14,2,41,3,1,1
tt2975590,['354'],354,1,7,16,16,122,6,34,34
tt3498820,['192'],192,2,6,14,16,204,6,40,40
tt4550098,['67'],67,1,2,5,3,10,4,3,3
tt1628841,['186'],186,1,6,11,8,73,6,28,28
tt3263904,['120'],120,1,3,9,4,50,8,27,27
tt4972582,['65'],65,1,1,8,4,7,5,27,27
tt3799694,['115'],115,1,2,11,3,49,6,1,1
tt2140479,['101'],101,1,1,6,4,57,5,25,25
tt3065204,['55'],55,1,4,8,5,21,5,21,21
tt2674426,['51'],51,1,1,7,10,5,3,20,20
tt3741834,['43'],43,1,2,14,15,7,5,1,1
tt2404435,['115'],115,1,5,7,8,95,8,47,47
tt1860357,['125'],125,1,5,15,8,46,6,32,32
tt4975722,['26'],26,1,2,10,2,23,3,26,26
tt3783958,['213'],213,1,1,16,9,35,6,55,55
tt0803096,['54'],54,1,2,17,15,49,10,28,28
tt1489889,['160'],160,1,3,13,1,66,6,24,24
tt1211837,['75'],75,1,5,7,16,137,2,45,45
tt3183660,['189'],189,1,1,8,8,88,2,25,25
tt2277860,['66'],66,2,4,3,117,94,2,31,31
tt3631112,['57'],57,1,2,7,6,9,4,65,65
tt3385516,['109'],109,1,6,11,9,137,6,29,29
tt4034228,['74'],74,1,1,11,3,12,8,1,1
tt2709768,['31'],31,2,3,4,2,,4,30,30
tt4276820,['73'],73,1,1,15,3,2,5,1,1
tt2267968,['59'],59,2,2,8,96,,3,29,29
tt4682786,['61'],61,1,1,15,2,24,6,20,20
tt5074352,['24'],24,1,5,9,10,5,3,7,7
tt5022702,['5'],5,1,2,8,3,13,2,3,3
tt2241351,['153'],153,1,3,13,3,16,4,24,24
tt2567026,['104'],104,1,2,6,12,37,6,26,26
tt3410834,['224'],224,1,4,14,3,121,3,43,43
tt4302938,['22'],22,1,3,3,52,106,2,23,23
tt5813916,['15'],15,1,1,15,1,7,3,1,1
tt2381991,['71'],71,1,3,4,5,61,3,21,21
tt3691740,['49'],49,1,2,10,7,78,6,1,1
tt1974419,['57'],57,1,3,20,1,5,6,2,2
tt3640424,['94'],94,1,1,9,7,18,4,33,33
tt4857264,['26'],26,1,1,9,8,24,10,2,2
tt2304933,['116'],116,1,4,8,2,58,4,25,25
tt3544112,['26'],26,1,2,15,11,3,6,2,2
tt4172430,['84'],84,1,2,9,8,46,5,35,35
tt2034800,['19'],19,1,6,12,12,106,8,36,36
tt4786282,['15'],15,1,2,16,4,14,4,16,16
tt1292566,['96'],96,1,4,12,8,39,5,18,18
tt2592614,['84'],84,1,1,10,7,64,4,1,1
tt4438848,['98'],98,1,5,15,4,15,4,22,22
tt4698684,['25'],25,1,3,10,9,54,3,1,1
tt2823054,['90'],90,1,2,7,3,22,3,20,20
tt4572514,['289'],289,1,5,20,2,58,5,49,49
tt3531824,['96'],96,2,2,9,3,20,4,21,21
tt3949660,['128'],128,1,4,15,20,118,7,24,24
tt1985949,['48'],48,2,4,6,1,,2,29,29
tt0475290,['236'],236,2,2,6,5,37,5,1,1
tt2404233,['58'],58,1,2,9,8,76,5,39,39
tt4501244,['58'],58,1,3,8,3,18,5,24,24
tt5700672,['53'],53,1,2,3,1,,2,1,1
tt2671706,['35'],35,1,1,17,3,6,5,23,23
tt4016934,['35'],35,1,3,8,3,2,2,1,1
tt3289956,['11'],11,1,2,10,3,17,3,1,1
tt3381008,['154'],154,1,3,18,9,78,7,20,20
tt3470600,['61'],61,2,1,5,57,,4,23,23
tt3393786,['155'],155,1,4,8,4,64,6,32,32
tt4651520,['115'],115,2,2,10,6,23,4,28,28
tt1860213,['97'],97,1,1,9,4,47,6,28,28
tt3774114,['97'],97,1,4,24,4,8,3,3,3
tt4034354,['11'],11,2,2,10,2,21,3,17,17
tt3416532,['21'],21,1,2,12,11,7,5,37,37
tt4052882,['12'],12,1,1,4,4,23,3,22,22
tt4094724,['145'],145,1,1,9,4,42,6,34,34
tt0490215,['66'],66,1,3,41,9,6,12,1,1
tt5311514,['70'],70,1,2,13,9,76,8,1,1
tt1878870,['31'],31,1,1,16,6,3,4,1,1
tt4731136,['68'],68,1,2,10,3,20,5,19,19
tt2488496,['181'],181,1,4,14,15,71,4,57,57
tt2381249,['202'],202,1,3,12,13,81,9,60,60
tt1502712,['129'],129,1,5,8,3,77,8,31,31
tt3569230,['136'],136,1,2,16,3,46,3,20,20
tt4046784,['75'],75,1,2,9,4,48,3,24,24
tt3659388,['63'],63,1,2,9,14,37,7,29,29
tt1638355,['94'],94,1,5,10,12,68,4,34,34
tt4178092,['23'],23,1,1,11,2,15,3,27,27
tt3464902,['43'],43,1,2,18,11,7,21,2,2
tt1964418,['106'],106,1,3,11,13,54,3,29,29
tt0810819,['70'],70,1,2,14,6,2,12,1,1
tt0478970,['166'],166,1,7,10,7,140,3,32,32
tt3170832,['27'],27,1,1,12,2,3,7,2,2
tt1355683,['197'],197,1,4,19,3,22,5,1,1
tt2719848,['65'],65,1,2,19,13,21,5,48,48
tt2120120,['144'],144,1,3,19,11,103,7,37,37
tt1596363,['198'],198,1,3,7,3,8,3,28,28
tt2080374,['225'],225,1,2,10,4,67,8,23,23
tt2820852,['159'],159,1,2,10,10,205,10,63,63
tt2096673,['66'],66,2,8,4,270,,2,35,35
tt3079380,['63'],63,1,1,10,14,61,3,34,34
tt1823672,['46'],46,1,2,6,6,30,9,33,33
tt3152624,['90'],90,1,1,8,4,8,4,26,26
tt3460252,['18'],18,1,1,8,5,27,3,1,1
tt2554274,['55'],55,1,2,5,5,14,2,23,23
tt2848292,['205'],205,1,2,9,2,13,3,1,1
tt1398426,['277'],277,1,4,17,3,114,8,21,21
tt1663202,['74'],74,1,3,19,13,110,10,31,31
tt0369610,['229'],229,1,5,6,6,105,6,46,46
tt1661199,['80'],80,1,2,5,7,31,4,21,21
tt2361509,['121'],121,1,1,8,4,19,1,1,1
tt1895587,['150'],150,1,2,16,4,9,4,1,1
tt2395427,['143'],143,1,5,16,32,247,2,30,30
tt2379713,['183'],183,1,5,12,27,164,6,45,45
tt2381941,['143'],143,2,2,5,12,7,3,37,37
tt1340138,['125'],125,1,4,9,8,112,2,1,1
tt1617661,['90'],90,2,2,7,14,94,4,39,39
tt2322441,['43'],43,1,2,5,7,5,3,46,46
tt1392190,['78'],78,1,3,11,11,155,4,44,44
tt1951266,['179'],179,1,3,15,14,203,3,36,36
tt1655441,['49'],49,1,2,13,2,7,2,26,26
tt1798684,['159'],159,1,1,21,10,11,4,25,25
tt2126355,['245'],245,1,3,9,11,102,4,34,34
tt3076658,['260'],260,1,3,8,7,20,4,30,30
tt3397884,['101'],101,1,1,10,4,45,3,42,42
tt2637276,['325'],325,1,3,11,5,63,5,27,27
tt4263482,['35'],35,1,1,23,5,7,9,1,1
tt3682448,['172'],172,1,3,10,12,36,8,30,30
tt2293640,['53'],53,2,1,5,2,,2,34,34
tt2908446,['197'],197,1,4,14,8,111,4,35,35
tt1172049,['47'],47,1,1,17,5,19,4,2,2
tt2510894,['86'],86,1,3,7,1,3,7,31,31
tt2224026,['11'],11,1,3,3,244,12,1,33,33
tt3622592,['64'],64,1,3,8,4,43,2,19,19
tt3316948,['80'],80,1,1,18,2,35,6,3,3
tt2503944,['73'],73,1,2,15,11,10,3,1,1
tt2140379,['77'],77,1,2,9,6,43,2,1,1
tt2631186,['25'],25,1,6,6,6,11,1,20,20
tt3322364,['150'],150,1,2,11,2,3,5,20,20
tt3567288,['28'],28,1,1,5,5,28,2,21,21
tt2402927,['81'],81,1,2,13,3,41,11,1,1
tt2494362,['34'],34,1,1,14,3,39,6,3,3
tt1365050,['64'],64,1,2,26,4,1,7,5,5
tt0884732,['98'],98,1,2,10,3,35,4,23,23
tt1528854,['134'],134,1,3,11,4,30,3,38,38
tt3332064,['75'],75,1,2,5,11,111,5,28,28
tt3072482,['96'],96,1,2,28,23,11,3,29,29
tt1390411,['70'],70,1,4,12,11,36,10,33,33
tt2400463,['16'],16,1,2,17,2,5,4,2,2
tt2057392,['75'],75,1,1,12,2,28,2,1,1
tt2401878,['3'],3,2,1,16,11,14,5,1,1
tt4062536,['31'],31,1,1,8,4,10,2,2,2
tt3195644,['36'],36,1,1,14,4,13,6,1,1
tt2381111,['49'],49,1,2,18,5,1,21,1,1
tt1014763,['76'],76,1,3,13,4,43,4,2,2
tt3850214,['46'],46,1,1,11,1,9,4,1,1
tt3605418,['10'],10,1,5,12,3,1,6,1,1
tt1618442,['142'],142,1,3,14,6,32,7,26,26
tt3488710,['81'],81,1,3,6,2,8,4,25,25
tt2436386,['67'],67,1,2,7,28,8,4,21,21
tt2726560,['190'],190,1,2,10,3,13,3,22,22
tt3203606,['135'],135,1,2,11,4,3,3,2,2
tt1850457,['115'],115,1,1,9,4,24,1,15,15
tt2199571,['112'],112,1,1,7,4,63,4,36,36
