,0,1,2,3
tt3402236,"['Crime', 'Drama', 'Mystery']",114.0,2017-11-03,7.4
tt2380307,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",105.0,2017-10-27,7.4
tt1856101,"['Science Fiction', 'Thriller']",163.0,2017-10-04,7.4
tt4425200,"['Thriller', 'Action', 'Crime']",122.0,2017-02-08,7.4
tt1485796,['Drama'],105.0,2017-12-20,7.4
tt3521126,"['Comedy', 'Drama']",104.0,2017-03-12,7.4
tt5439796,"['Action', 'Comedy', 'Crime', 'Drama']",119.0,2017-08-17,7.4
tt5726616,"['Romance', 'Drama']",132.0,2017-09-01,7.4
tt1396484,"['Horror', 'Thriller']",135.0,2017-09-06,7.4
tt2316204,"['Horror', 'Science Fiction', 'Thriller']",122.0,2017-05-09,7.4
tt4649466,"['Action', 'Adventure']",141.0,2017-09-20,7.4
tt4925292,"['Comedy', 'Drama']",94.0,2017-09-08,7.4
tt2543472,"['Drama', 'Family']",113.0,2017-11-13,7.4
tt2250912,"['Action', 'Adventure', 'Science Fiction', 'Drama']",133.0,2017-07-05,7.4
tt2239822,"['Adventure', 'Science Fiction', 'Action']",136.0,2017-07-20,7.4
tt5580390,"['Drama', 'Fantasy', 'Romance']",123.0,2017-12-01,7.4
tt1469304,"['Action', 'Comedy']",116.0,2017-05-12,7.4
tt3450958,"['Drama', 'Science Fiction', 'War']",140.0,2017-07-11,7.4
tt6294822,"['Drama', 'History']",116.0,2017-12-22,7.4
tt4555426,"['Drama', 'History']",125.0,2017-11-22,7.4
tt3371366,"['Action', 'Science Fiction', 'Thriller', 'Adventure']",149.0,2017-06-16,7.4
tt5109784,"['Drama', 'Horror', 'Mystery']",121.0,2017-09-13,7.4
tt2771200,"['Family', 'Fantasy', 'Romance']",129.0,2017-03-16,7.4
tt1790809,"['Adventure', 'Action', 'Fantasy', 'Comedy']",129.0,2017-05-23,7.4
tt0451279,"['Action', 'Adventure', 'Fantasy', 'War']",141.0,2017-05-30,7.4
tt5013056,"['Action', 'Drama', 'History', 'Thriller', 'War']",107.0,2017-07-19,7.4
tt1959563,"['Action', 'Comedy']",118.0,2017-08-16,7.4
tt2283362,"['Action', 'Adventure', 'Comedy', 'Fantasy']",119.0,2017-12-09,7.4
tt4116284,"['Action', 'Animation', 'Comedy', 'Family', 'Fantasy']",104.0,2017-02-08,7.4
tt5027774,"['Crime', 'Drama']",115.0,2017-11-10,7.4
tt5362988,"['Crime', 'Drama', 'Mystery', 'Thriller']",107.0,2017-08-03,7.4
tt2406566,"['Action', 'Mystery', 'Thriller']",115.0,2017-07-26,7.4
tt3315342,"['Action', 'Drama', 'Science Fiction']",137.0,2017-02-28,7.4
tt2345759,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",110.0,2017-06-06,7.4
tt1219827,"['Action', 'Science Fiction', 'Thriller', 'Drama']",107.0,2017-03-29,7.4
tt5462602,"['Comedy', 'Drama', 'Romance']",120.0,2017-06-23,7.4
tt2527336,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",152.0,2017-12-13,7.4
tt3532216,"['Thriller', 'Action']",115.0,2017-08-17,7.4
tt4630562,"['Adventure', 'Action', 'Crime', 'Thriller', 'Mystery']",136.0,2017-04-12,7.4
tt1972591,"['Action', 'Drama', 'Fantasy']",126.0,2017-05-10,7.4
tt3896198,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",137.0,2017-04-19,7.4
tt5442430,"['Horror', 'Science Fiction', 'Thriller', 'Drama']",103.0,2017-03-22,7.4
tt3731562,"['Action', 'Adventure', 'Fantasy']",118.0,2017-03-08,7.4
tt2568862,"['Crime', 'Comedy', 'Drama']",96.0,2017-04-06,7.4
tt2226597,"['Romance', 'Adventure', 'Drama']",109.0,2017-10-05,7.4
tt4633690,"['Crime', 'Drama', 'Thriller']",121.0,2017-07-13,7.4
tt5140878,"['Horror', 'Mystery', 'Thriller']",109.0,2017-08-03,7.4
tt4877122,"['Animation', 'Family', 'Comedy']",86.0,2017-07-23,7.4
tt3874544,"['Animation', 'Comedy', 'Family']",97.0,2017-03-23,7.4
tt3606752,"['Adventure', 'Animation', 'Comedy', 'Family']",109.0,2017-06-15,7.4
tt1758810,"['Drama', 'Crime', 'Thriller', 'Horror']",119.0,2017-10-12,7.4
tt3922818,"['Romance', 'Adventure', 'Science Fiction', 'Drama']",121.0,2017-01-26,7.4
tt5308322,"['Horror', 'Mystery', 'Thriller']",96.0,2017-10-12,7.4
tt5592248,"['Drama', 'Western']",93.0,2017-06-23,7.4
tt3717490,"['Action', 'Adventure', 'Science Fiction']",124.0,2017-03-23,7.4
tt1961175,"['Action', 'Thriller']",112.0,2017-09-14,7.4
tt5657846,['Comedy'],100.0,2017-11-09,7.4
tt5638642,['Horror'],94.0,2017-10-11,7.4
tt5649144,['Drama'],111.0,2017-10-06,7.4
tt4849438,"['Action', 'Fantasy', 'Drama']",168.0,2017-04-27,7.4
tt5478478,"['Drama', 'Western', 'History']",134.0,2017-12-22,7.4
tt1293847,"['Action', 'Adventure', 'Crime']",107.0,2017-01-13,7.4
tt5657856,"['Action', 'Crime', 'Thriller']",132.0,2017-09-23,7.4
tt1536537,"['Science Fiction', 'Thriller', 'Drama']",123.0,2017-08-18,7.4
tt1981128,"['Action', 'Science Fiction', 'Thriller']",109.0,2017-10-13,7.4
tt3469046,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",96.0,2017-06-15,7.4
tt1389072,"['Comedy', 'Drama', 'Science Fiction']",135.0,2017-12-22,7.4
tt4225622,"['Horror', 'Comedy']",85.0,2017-10-13,7.4
tt4209788,"['Crime', 'Drama']",140.0,2017-12-21,7.4
tt4481414,"['Drama', 'Family', 'Comedy']",101.0,2017-04-12,7.4
tt5776858,"['Drama', 'Romance']",131.0,2017-12-25,7.4
tt4846232,"['Crime', 'Drama', 'Thriller']",101.0,2017-08-11,7.4
