,0
tt3464902,"['€4,000,000']"
tt2554274,"['$55,000,000']"
tt2293640,"['$74,000,000']"
tt2488496,"['$245,000,000']"
tt2395427,"['$250,000,000']"
tt2820852,"['$190,000,000']"
tt2848292,"['$29,000,000']"
tt1502712,"['$120,000,000']"
tt1617661,"['$176,000,000']"
tt2381941,"['$50,100,000']"
tt2361509,"['$35,000,000']"
tt3460252,"['$44,000,000']"
tt3397884,"['$30,000,000']"
tt1951266,"['$160,000,000']"
tt4263482,"['$4,000,000']"
tt3076658,"['$35,000,000']"
tt1340138,"['$155,000,000']"
tt1638355,"['$75,000,000']"
tt1661199,"['$95,000,000']"
tt2080374,"['$30,000,000']"
tt2379713,"['$245,000,000']"
tt2126355,"['$110,000,000']"
tt2322441,"['$40,000,000']"
tt0478970,"['$130,000,000']"
tt4046784,"['$61,000,000']"
tt1895587,"['$20,000,000']"
tt2096673,"['$175,000,000']"
tt3079380,"['$65,000,000']"
tt1355683,"['$53,000,000']"
tt1655441,"['$25,000,000']"
tt3569230,"['$30,000,000']"
tt1596363,"['$28,000,000']"
tt2719848,"['$55,000,000']"
tt2908446,"['$110,000,000']"
tt3659388,"['$108,000,000']"
tt3170832,"['$13,000,000']"
tt0369610,"['$150,000,000']"
tt0810819,"['$15,000,000']"
tt3682448,"['$40,000,000']"
tt2637276,"['$68,000,000']"
tt3152624,"['$35,000,000']"
tt1392190,"['$150,000,000']"
tt4178092,"['$5,000,000']"
tt1398426,"['$28,000,000']"
tt2381249,"['$150,000,000']"
tt3312830,"['€12,300,000']"
tt3168230,"['$10,000,000']"
tt2582496,"['$8,000,000']"
tt3195644,"['$10,000,000']"
tt2057392,"['$13,000,000']"
tt3850214,"['$7,000,000']"
tt3488710,"['$35,000,000']"
tt3203606,"['$15,000,000']"
tt1850457,"['$30,000,000']"
tt0884732,"['$23,000,000']"
tt2401878,"['$8,000,000']"
tt3045616,"['$60,000,000']"
tt3316948,"['$28,000,000']"
tt2436386,"['$12,000,000']"
tt2561572,"['$40,000,000']"
tt1524930,"['$31,000,000']"
tt2140379,"['$26,000,000']"
tt2679042,"['$35,000,000']"
tt3530002,"['$25,000,000']"
tt1365050,"['$6,000,000']"
tt1979388,"['$200,000,000']"
tt3072482,"['$2,000,000']"
tt1618442,"['$90,000,000']"
tt2381111,"['$11,000,000']"
tt3332064,"['$150,000,000']"
tt2631186,"['$18,026,148']"
tt2510894,"['$80,000,000']"
tt2503944,"['$20,000,000']"
tt3622592,"['$12,000,000']"
tt3322364,"['$35,000,000']"
tt3863552,"['$2,425,000']"
tt2224026,"['$135,000,000']"
tt2199571,"['$50,000,000']"
tt2494362,"['$1,800,000']"
tt1083452,"['$23,000,000']"
tt2726560,"['$34,000,000']"
tt1390411,"['$100,000,000']"
tt1528854,"['$50,000,000']"
tt1014763,"['$50,000,000']"
tt1674771,"['$30,000,000']"
tt2446980,"['$60,000,000']"
tt4062536,"['$5,000,000']"
tt1172049,"['$10,000,000']"
tt1666801,"['$8,500,000']"
tt2402927,"['$11,800,000']"
tt3605418,"['$2,500,000']"
tt3567288,"['$5,000,000']"
tt1051904,"['$58,000,000']"
tt2400463,"['$67,877']"
tt1781922,"['$16,200,000']"
tt2713180,"['$68,000,000']"
tt1291150,"['$125,000,000']"
tt1790864,"['$34,000,000']"
tt1253863,"['$110,000,000']"
tt1490017,"['$60,000,000']"
tt1840309,"['$85,000,000']"
tt2397535,"['$44,028']"
tt2562232,"['$18,000,000']"
tt2911666,"['$20,000,000']"
