,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers
69,tt5083738,"['Drama', 'History', 'Comedy']",120.0,2018-11-20,59,1,2,13,10.0,25.0,4,9
70,tt6772950,"['Thriller', 'Horror']",100.0,2018-04-12,37,1,4,11,3.0,14.0,1,15
71,tt6663582,"['Action', 'Comedy']",117.0,2018-08-02,56,1,2,16,16.0,39.0,5,18
72,tt4575576,"['Adventure', 'Comedy', 'Family', 'Fantasy']",104.0,2018-08-02,80,1,7,5,4.0,24.0,2,10
73,tt6679794,"['Drama', 'Action', 'History']",122.0,2018-11-09,93,1,5,8,4.0,58.0,3,5
74,tt5117670,"['Animation', 'Adventure', 'Family']",93.0,2018-02-07,61,1,3,15,4.0,22.0,9,26
75,tt6921996,"['Adventure', 'Family', 'Action', 'Comedy']",89.0,2018-09-13,85,1,1,7,4.0,52.0,4,17
76,tt6697582,"['Adventure', 'Comedy', 'Science Fiction']",125.0,2018-01-05,78,1,1,4,15.0,7.0,2,8
77,tt3201640,"['Science Fiction', 'Thriller', 'Drama', 'Action']",96.0,2018-07-15,30,1,3,13,2.0,44.0,3,1
78,tt6452574,"['Drama', 'Comedy']",161.0,2018-06-29,36,1,2,9,5.0,3.0,2,2
79,tt4701182,"['Action', 'Adventure', 'Science Fiction']",114.0,2018-12-15,105,1,1,12,6.0,56.0,8,18
80,tt5834262,"['Thriller', 'Science Fiction', 'Action']",94.0,2018-06-07,49,1,1,13,2.0,30.0,3,1
81,tt6850820,"['Action', 'Thriller', 'Drama']",102.0,2018-09-06,69,1,1,15,4.0,37.0,3,18
82,tt7431594,"['Thriller', 'Action']",160.0,2018-06-15,50,1,2,13,1.0,5.0,4,3
83,tt2388771,"['Adventure', 'Drama']",105.0,2018-11-25,38,1,2,5,6.0,20.0,3,14
84,tt6217306,"['Thriller', 'Mystery', 'Fantasy', 'Horror']",130.0,2018-09-21,38,1,1,7,2.0,21.0,3,1
85,tt8108198,"['Thriller', 'Comedy', 'Crime']",139.0,2018-10-05,17,1,6,9,8.0,22.0,2,2
86,tt6966692,"['Drama', 'Comedy']",130.0,2018-11-16,100,1,3,11,6.0,14.0,5,29
87,tt3892172,['Drama'],110.0,2018-06-29,38,1,3,13,2.0,4.0,4,21
88,tt4560436,"['Action', 'Thriller', 'Adventure', 'Crime']",95.0,2018-08-16,67,1,2,24,9.0,50.0,5,22
89,tt2531344,['Comedy'],102.0,2018-03-14,77,1,2,18,3.0,31.0,4,16
90,tt5726086,"['Mystery', 'Horror', 'Thriller']",118.0,2018-01-03,35,1,1,14,4.0,14.0,4,25
91,tt5304992,"['Romance', 'Comedy']",105.0,2018-06-12,57,1,1,5,4.0,4.0,1,2
92,tt1137450,"['Action', 'Crime', 'Drama', 'Thriller']",107.0,2018-03-02,75,1,3,5,7.0,44.0,2,27
93,tt6998518,"['Action', 'Thriller', 'Horror']",122.0,2018-09-13,20,1,3,16,3.0,19.0,6,1
94,tt3799232,"['Romance', 'Comedy']",105.0,2018-05-11,37,1,2,7,5.0,2.0,1,3
95,tt5783956,"['Comedy', 'Romance', 'Fantasy']",97.0,2018-02-09,30,1,1,16,1.0,7.0,4,1
96,tt4218572,"['Crime', 'Drama', 'Thriller']",128.0,2018-11-06,130,1,3,10,3.0,29.0,5,12
97,tt6791096,['Comedy'],111.0,2018-04-19,106,2,2,17,2.0,3.0,3,20
98,tt5028340,"['Fantasy', 'Family', 'Comedy']",131.0,2018-12-19,127,1,4,8,7.0,52.0,3,18
99,tt2119543,"['Horror', 'Fantasy', 'Thriller', 'Family', 'Mystery']",106.0,2018-09-15,35,1,2,8,8.0,19.0,4,1
100,tt4244998,"['Adventure', 'Drama']",97.0,2018-08-17,17,1,2,11,2.0,27.0,1,34
101,tt4477536,"['Drama', 'Romance']",105.0,2018-01-17,68,1,2,4,8.0,19.0,2,22
102,tt3890160,"['Action', 'Crime']",112.0,2017-06-28,85,1,1,10,4.0,114.0,4,31
103,tt1648190,"['Action', 'Fantasy', 'Science Fiction', 'Western', 'Horror']",95.0,2017-08-03,64,1,5,8,8.0,71.0,6,43
104,tt3501632,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",130.0,2017-10-25,117,1,9,8,15.0,102.0,3,38
105,tt5519340,"['Action', 'Crime', 'Fantasy']",117.0,2017-12-22,96,1,1,10,4.0,104.0,3,5
106,tt5580036,['Drama'],121.0,2017-12-08,97,1,1,14,3.0,12.0,2,1
107,tt5052448,"['Mystery', 'Thriller', 'Horror']",104.0,2017-02-24,43,1,1,13,4.0,18.0,6,28
108,tt0974015,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",120.0,2017-11-15,185,1,10,20,15.0,190.0,7,24
109,tt3402236,"['Crime', 'Drama', 'Mystery']",114.0,2017-11-03,103,1,2,14,7.0,45.0,7,24
110,tt2380307,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",105.0,2017-10-27,23,2,4,3,111.0,123.0,2,25
111,tt1856101,"['Science Fiction', 'Thriller']",163.0,2017-10-04,38,1,3,16,19.0,65.0,8,1
112,tt4425200,"['Thriller', 'Action', 'Crime']",122.0,2017-02-08,86,1,1,13,14.0,113.0,5,1
113,tt1485796,['Drama'],105.0,2017-12-20,151,1,2,8,6.0,62.0,3,21
114,tt3521126,"['Comedy', 'Drama']",104.0,2017-03-12,123,1,4,22,6.0,1.0,6,19
115,tt5439796,"['Action', 'Comedy', 'Crime', 'Drama']",119.0,2017-08-17,164,1,1,9,4.0,25.0,2,1
116,tt5726616,"['Romance', 'Drama']",132.0,2017-09-01,13,1,2,20,5.0,4.0,7,4
117,tt1396484,"['Horror', 'Thriller']",135.0,2017-09-06,49,1,4,13,3.0,42.0,5,27
118,tt2316204,"['Horror', 'Science Fiction', 'Thriller']",122.0,2017-05-09,26,1,6,8,6.0,45.0,4,21
119,tt4649466,"['Action', 'Adventure']",141.0,2017-09-20,133,1,4,11,6.0,118.0,4,25
120,tt4925292,"['Comedy', 'Drama']",94.0,2017-09-08,72,1,1,6,8.0,10.0,4,2
121,tt2543472,"['Drama', 'Family']",113.0,2017-11-13,70,1,4,12,8.0,10.0,4,27
122,tt2250912,"['Action', 'Adventure', 'Science Fiction', 'Drama']",133.0,2017-07-05,137,1,10,12,8.0,154.0,3,42
123,tt2239822,"['Adventure', 'Science Fiction', 'Action']",136.0,2017-07-20,117,1,3,8,17.0,33.0,11,39
124,tt5580390,"['Drama', 'Fantasy', 'Romance']",123.0,2017-12-01,49,1,2,6,2.0,24.0,4,22
125,tt1469304,"['Action', 'Comedy']",116.0,2017-05-12,149,1,9,18,6.0,63.0,9,36
126,tt3450958,"['Drama', 'Science Fiction', 'War']",140.0,2017-07-11,50,1,5,8,8.0,97.0,3,22
127,tt6294822,"['Drama', 'History']",116.0,2017-12-22,179,1,2,11,8.0,42.0,5,44
128,tt4555426,"['Drama', 'History']",125.0,2017-11-22,110,1,1,9,3.0,9.0,2,25
129,tt3371366,"['Action', 'Science Fiction', 'Thriller', 'Adventure']",149.0,2017-06-16,174,1,4,14,14.0,156.0,6,37
130,tt5109784,"['Drama', 'Horror', 'Mystery']",121.0,2017-09-13,72,1,1,7,10.0,34.0,2,42
131,tt2771200,"['Family', 'Fantasy', 'Romance']",129.0,2017-03-16,162,1,5,10,7.0,24.0,2,45
132,tt1790809,"['Adventure', 'Action', 'Fantasy', 'Comedy']",129.0,2017-05-23,156,2,5,7,13.0,163.0,3,27
133,tt0451279,"['Action', 'Adventure', 'Fantasy', 'War']",141.0,2017-05-30,162,1,5,13,24.0,182.0,7,29
134,tt5013056,"['Action', 'Drama', 'History', 'Thriller', 'War']",107.0,2017-07-19,77,1,1,7,11.0,103.0,7,26
135,tt1959563,"['Action', 'Comedy']",118.0,2017-08-16,126,1,1,31,8.0,163.0,9,1
136,tt2283362,"['Action', 'Adventure', 'Comedy', 'Fantasy']",119.0,2017-12-09,79,1,8,10,8.0,64.0,5,27
137,tt4116284,"['Action', 'Animation', 'Comedy', 'Family', 'Fantasy']",104.0,2017-02-08,51,1,14,20,1.0,,14,28
138,tt5027774,"['Crime', 'Drama']",115.0,2017-11-10,42,1,1,9,3.0,10.0,3,26
139,tt5362988,"['Crime', 'Drama', 'Mystery', 'Thriller']",107.0,2017-08-03,35,1,1,28,3.0,23.0,11,2
140,tt2406566,"['Action', 'Mystery', 'Thriller']",115.0,2017-07-26,26,1,3,20,6.0,41.0,7,1
141,tt3315342,"['Action', 'Drama', 'Science Fiction']",137.0,2017-02-28,110,1,9,9,5.0,128.0,6,26
142,tt2345759,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",110.0,2017-06-06,79,1,6,8,6.0,146.0,6,22
143,tt1219827,"['Action', 'Science Fiction', 'Thriller', 'Drama']",107.0,2017-03-29,59,1,4,12,15.0,80.0,10,49
144,tt5462602,"['Comedy', 'Drama', 'Romance']",120.0,2017-06-23,47,1,2,8,3.0,4.0,3,2
145,tt2527336,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']",152.0,2017-12-13,118,1,2,16,22.0,62.0,7,48
146,tt3532216,"['Thriller', 'Action']",115.0,2017-08-17,151,1,1,32,9.0,36.0,6,1
147,tt4630562,"['Adventure', 'Action', 'Crime', 'Thriller', 'Mystery']",136.0,2017-04-12,182,1,2,10,11.0,195.0,6,31
148,tt1972591,"['Action', 'Drama', 'Fantasy']",126.0,2017-05-10,180,1,4,11,12.0,86.0,7,22
149,tt3896198,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",137.0,2017-04-19,83,1,13,9,6.0,67.0,2,23
150,tt5442430,"['Horror', 'Science Fiction', 'Thriller', 'Drama']",103.0,2017-03-22,17,1,2,8,2.0,28.0,3,22
151,tt3731562,"['Action', 'Adventure', 'Fantasy']",118.0,2017-03-08,92,1,6,10,18.0,79.0,3,28
152,tt2568862,"['Crime', 'Comedy', 'Drama']",96.0,2017-04-06,107,1,2,9,5.0,29.0,6,18
153,tt2226597,"['Romance', 'Adventure', 'Drama']",109.0,2017-10-05,21,1,3,8,9.0,33.0,2,19
154,tt4633690,"['Crime', 'Drama', 'Thriller']",121.0,2017-07-13,83,1,1,10,3.0,21.0,4,20
155,tt5140878,"['Horror', 'Mystery', 'Thriller']",109.0,2017-08-03,28,1,1,8,1.0,10.0,4,21
156,tt4877122,"['Animation', 'Family', 'Comedy']",86.0,2017-07-23,62,1,4,4,128.0,25.0,3,43
157,tt3874544,"['Animation', 'Comedy', 'Family']",97.0,2017-03-23,24,1,2,3,4.0,,2,28
158,tt3606752,"['Adventure', 'Animation', 'Comedy', 'Family']",109.0,2017-06-15,44,1,8,3,100.0,70.0,2,37
159,tt1758810,"['Drama', 'Crime', 'Thriller', 'Horror']",119.0,2017-10-12,54,1,4,12,12.0,62.0,4,20
160,tt3922818,"['Romance', 'Adventure', 'Science Fiction', 'Drama']",121.0,2017-01-26,92,1,3,23,6.0,29.0,3,22
161,tt5308322,"['Horror', 'Mystery', 'Thriller']",96.0,2017-10-12,35,1,1,9,3.0,15.0,4,20
162,tt5592248,"['Drama', 'Western']",93.0,2017-06-23,12,1,4,6,4.0,2.0,2,23
163,tt3717490,"['Action', 'Adventure', 'Science Fiction']",124.0,2017-03-23,60,1,9,14,5.0,59.0,5,38
164,tt1961175,"['Action', 'Thriller']",112.0,2017-09-14,96,1,5,11,13.0,81.0,5,33
165,tt5657846,['Comedy'],100.0,2017-11-09,158,1,3,9,3.0,25.0,2,45
166,tt5638642,['Horror'],94.0,2017-10-11,16,1,2,9,4.0,4.0,2,7
167,tt5649144,['Drama'],111.0,2017-10-06,46,1,2,11,4.0,14.0,4,1
168,tt4849438,"['Action', 'Fantasy', 'Drama']",168.0,2017-04-27,21,1,7,4,12.0,4.0,1,15
169,tt5478478,"['Drama', 'Western', 'History']",134.0,2017-12-22,54,1,2,17,3.0,20.0,2,15
170,tt1293847,"['Action', 'Adventure', 'Crime']",107.0,2017-01-13,107,1,2,11,10.0,193.0,7,23
171,tt5657856,"['Action', 'Crime', 'Thriller']",132.0,2017-09-23,53,1,1,9,1.0,18.0,7,2
172,tt1536537,"['Science Fiction', 'Thriller', 'Drama']",123.0,2017-08-18,42,1,2,15,4.0,23.0,7,16
173,tt1981128,"['Action', 'Science Fiction', 'Thriller']",109.0,2017-10-13,170,1,2,9,13.0,83.0,6,26
174,tt3469046,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",96.0,2017-06-15,38,3,2,5,1.0,,2,22
175,tt1389072,"['Comedy', 'Drama', 'Science Fiction']",135.0,2017-12-22,172,1,2,11,10.0,8.0,3,37
176,tt4225622,"['Horror', 'Comedy']",85.0,2017-10-13,22,1,1,10,3.0,19.0,3,2
177,tt4209788,"['Crime', 'Drama']",140.0,2017-12-21,102,1,2,16,7.0,24.0,5,1
178,tt4481414,"['Drama', 'Family', 'Comedy']",101.0,2017-04-12,78,1,1,8,3.0,14.0,4,1
179,tt5776858,"['Drama', 'Romance']",131.0,2017-12-25,82,1,1,8,9.0,22.0,4,40
180,tt4846232,"['Crime', 'Drama', 'Thriller']",101.0,2017-08-11,87,2,2,8,2.0,3.0,2,20
181,tt4622512,"['Comedy', 'Drama', 'History']",121.0,2017-09-05,137,2,1,6,2.0,4.0,4,17
182,tt3829920,['Drama'],133.0,2017-09-22,93,1,3,12,5.0,20.0,3,44
183,tt3967856,"['Adventure', 'Drama', 'Science Fiction', 'Action']",122.0,2017-06-28,118,1,2,17,5.0,52.0,3,2
184,tt5294550,"['Thriller', 'Drama', 'Crime', 'Mystery']",132.0,2017-12-21,80,1,2,10,12.0,34.0,6,37
185,tt5715874,"['Drama', 'Thriller', 'Mystery']",122.0,2017-10-20,69,1,2,16,3.0,24.0,3,18
186,tt3748172,"['Drama', 'Horror', 'Thriller']",104.0,2017-09-19,38,1,3,7,1.0,6.0,1,1
187,tt4287320,"['Drama', 'Thriller', 'Science Fiction']",110.0,2017-04-27,75,1,2,14,4.0,10.0,6,1
188,tt4765284,"['Comedy', 'Music']",93.0,2017-12-20,163,1,3,8,2.0,47.0,4,19
189,tt5988370,[],108.0,2017-03-02,7,1,1,1,,,1,10
190,tt4995790,['Drama'],151.0,2017-08-25,56,1,1,12,11.0,4.0,14,23
191,tt4465564,"['Drama', 'Romance']",118.0,2017-02-08,53,1,2,4,4.0,32.0,6,19
192,tt4468740,"['Adventure', 'Comedy', 'Family']",104.0,2017-11-09,124,1,4,11,4.0,17.0,7,37
193,tt1615160,"['Action', 'Thriller', 'Drama']",113.0,2017-09-28,97,1,2,32,3.0,41.0,8,30
194,tt1241317,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",101.0,2017-08-25,72,1,5,14,4.0,74.0,2,6
195,tt2763304,"['Crime', 'Drama']",117.0,2017-01-27,70,1,2,8,13.0,46.0,7,30
196,tt4695012,"['Horror', 'Thriller', 'Mystery', 'Drama']",91.0,2017-06-09,10,1,1,8,6.0,21.0,2,16
197,tt1753383,"['Comedy', 'Drama', 'Family', 'Fantasy']",100.0,2017-01-19,60,1,5,7,8.0,16.0,6,59
198,tt6265828,"['Drama', 'Fantasy', 'Romance']",93.0,2017-07-07,71,1,1,5,2.0,2.0,3,28
199,tt4686844,"['Comedy', 'History']",107.0,2017-10-20,108,1,6,13,2.0,13.0,11,1
200,tt3348730,"['Crime', 'Horror', 'Mystery', 'Thriller']",92.0,2017-10-26,32,2,2,11,2.0,16.0,4,23
201,tt5742374,"['Drama', 'Thriller', 'Crime']",89.0,2017-11-08,40,1,2,14,4.0,29.0,3,1
202,tt2582782,"['Crime', 'Drama', 'Thriller', 'Western']",102.0,2016-08-12,64,1,1,15,4.0,28.0,4,25
203,tt4160708,"['Crime', 'Horror', 'Thriller']",89.0,2016-08-25,19,1,2,14,5.0,11.0,6,3
204,tt2660888,"['Action', 'Adventure', 'Science Fiction']",122.0,2016-07-07,84,1,6,11,9.0,79.0,7,42
205,tt2094766,"['Action', 'Adventure', 'Science Fiction']",115.0,2016-12-21,81,1,6,16,6.0,88.0,11,29
206,tt4196776,"['Action', 'Thriller']",123.0,2016-07-27,229,1,3,17,16.0,174.0,6,40
207,tt1935859,"['Drama', 'Fantasy', 'Adventure', 'Family']",127.0,2016-09-28,102,1,2,6,15.0,69.0,8,25
208,tt3062096,"['Mystery', 'Thriller', 'Drama']",121.0,2016-10-13,59,1,2,10,19.0,69.0,4,43
209,tt1355644,"['Drama', 'Romance', 'Science Fiction']",116.0,2016-12-21,45,1,1,12,2.0,16.0,7,33
210,tt1289401,"['Action', 'Fantasy', 'Comedy']",116.0,2016-07-14,210,1,5,12,9.0,93.0,7,41
211,tt3040964,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Animation']",106.0,2016-04-07,28,1,2,7,20.0,21.0,4,27
212,tt2119532,"['Drama', 'History', 'War']",140.0,2016-10-07,112,1,2,35,4.0,70.0,5,2
213,tt4846340,"['Drama', 'History']",127.0,2016-12-10,126,1,3,12,3.0,12.0,4,20
214,tt3110958,"['Action', 'Comedy', 'Thriller']",129.0,2016-06-02,145,1,4,13,7.0,73.0,3,56
215,tt1431045,"['Action', 'Adventure', 'Comedy']",108.0,2016-02-09,55,1,2,10,5.0,90.0,5,34
216,tt2543164,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']",116.0,2016-11-10,74,1,2,14,5.0,5.0,4,1
217,tt3748528,"['Action', 'Adventure', 'Science Fiction']",133.0,2016-12-14,155,1,5,11,13.0,122.0,5,43
218,tt1179933,"['Thriller', 'Science Fiction', 'Drama']",104.0,2016-03-10,9,1,3,8,4.0,43.0,3,36
219,tt3521164,"['Adventure', 'Comedy', 'Family', 'Animation']",107.0,2016-11-23,13,4,8,3,169.0,,3,30
220,tt3553976,"['Adventure', 'Comedy', 'Drama']",119.0,2016-07-02,51,1,1,9,4.0,12.0,2,1
221,tt1386697,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",124.0,2016-08-03,126,1,2,10,13.0,194.0,5,30
222,tt3300542,"['Action', 'Crime', 'Thriller']",99.0,2016-03-02,93,1,5,20,9.0,157.0,4,1
223,tt2948356,"['Animation', 'Adventure', 'Family', 'Comedy']",109.0,2016-02-11,75,3,7,4,127.0,171.0,2,42
224,tt4776998,"['History', 'Romance', 'Drama']",130.0,2016-12-02,115,1,2,15,18.0,54.0,3,18
225,tt2005151,"['Comedy', 'Crime', 'Drama']",114.0,2016-08-17,117,1,4,12,9.0,56.0,4,15
226,tt0918940,"['Action', 'Adventure']",109.0,2016-06-29,169,1,3,12,15.0,103.0,9,25
227,tt1700841,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",89.0,2016-07-11,33,2,5,14,2.0,41.0,3,1
228,tt2975590,"['Action', 'Adventure', 'Fantasy']",151.0,2016-03-23,354,1,7,16,16.0,122.0,6,34
229,tt3498820,"['Adventure', 'Action', 'Science Fiction']",147.0,2016-04-27,192,2,6,14,16.0,204.0,6,40
230,tt4550098,"['Drama', 'Thriller']",116.0,2016-11-04,67,1,2,5,3.0,10.0,4,3
231,tt1628841,"['Action', 'Adventure', 'Science Fiction']",120.0,2016-06-22,186,1,6,11,8.0,73.0,6,28
